,experiment,response time (ms),Subject,block,sortCol,typeOrder
14,tactor,175.88223999999997,4,1,a,1
15,tactor,201.19551999999996,4,1,a,1
16,tactor,189.97248,4,1,a,1
17,tactor,557.99808,4,1,a,1
18,tactor,107.15136000000003,4,1,a,1
19,tactor,214.17984000000013,4,1,a,1
0,tactor,443.5967999999999,4,2,a,1
8,tactor,125.58335999999981,4,2,a,1
11,tactor,144.3020800000001,4,2,a,1
17,tactor,106.53695999999991,4,2,a,1
19,tactor,147.94752,4,2,a,1
60,100 ms ,217.62048000000001,4,1,b,0
62,100 ms ,221.10208,4,1,b,0
75,100 ms ,787.12832,4,2,b,0
80,200 ms ,412.8768,4,1,c,0
81,200 ms ,245.18656,4,1,c,0
82,200 ms ,228.67968,4,1,c,0
83,200 ms ,212.91008,4,1,c,0
84,200 ms ,349.34784,4,1,c,0
87,200 ms ,563.65056,4,1,c,0
81,200 ms ,349.75744,4,2,c,0
84,200 ms ,657.03936,4,2,c,0
88,200 ms ,387.60447999999997,4,2,c,0
89,200 ms ,595.10784,4,2,c,0
92,200 ms ,711.02464,4,2,c,0
96,200 ms ,754.81088,4,2,c,0
98,200 ms ,556.0319999999999,4,2,c,0
100,400 ms ,314.20416,4,1,d,0
102,400 ms ,339.39456,4,1,d,0
103,400 ms ,369.74592,4,1,d,0
108,400 ms ,590.2336,4,1,d,0
110,400 ms ,573.0304000000001,4,1,d,0
116,400 ms ,596.5824,4,1,d,0
117,400 ms ,531.3740799999999,4,1,d,0
100,400 ms ,380.06784,4,2,d,0
102,400 ms ,306.09407999999996,4,2,d,0
103,400 ms ,409.06752,4,2,d,0
104,400 ms ,376.01279999999997,4,2,d,0
108,400 ms ,680.3046400000001,4,2,d,0
110,400 ms ,384.90112,4,2,d,0
113,400 ms ,859.05408,4,2,d,0
115,400 ms ,556.8512,4,2,d,0
117,400 ms ,423.936,4,2,d,0
118,400 ms ,605.10208,4,2,d,0
120,800 ms ,364.87167999999997,4,1,e,0
121,800 ms ,240.0256,4,1,e,0
122,800 ms ,326.20544,4,1,e,0
123,800 ms ,311.58272,4,1,e,0
124,800 ms ,319.6928,4,1,e,0
125,800 ms ,363.35616,4,1,e,0
129,800 ms ,438.19007999999997,4,1,e,0
135,800 ms ,822.84544,4,1,e,0
136,800 ms ,466.41152,4,1,e,0
120,800 ms ,337.87904000000003,4,2,e,0
121,800 ms ,336.65024,4,2,e,0
122,800 ms ,883.67104,4,2,e,0
123,800 ms ,335.79008,4,2,e,0
125,800 ms ,320.06143999999995,4,2,e,0
126,800 ms ,359.54688,4,2,e,0
127,800 ms ,754.81088,4,2,e,0
128,800 ms ,596.13184,4,2,e,0
129,800 ms ,578.80576,4,2,e,0
132,800 ms ,638.64832,4,2,e,0
134,800 ms ,456.74496,4,2,e,0
137,800 ms ,634.51136,4,2,e,0
139,800 ms ,715.9807999999999,4,2,e,0
